n_training_sources,subset_index,model,test_sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
6,16,nnls_physics,2,90,16.138374508751763,20.824661075857993,0.004714400824820997,12.514665603637695,36.78511924743655
6,16,physics_residual_xgboost,2,90,11.81224286487257,16.018800004178342,0.4110861137380726,9.080018093188603,28.242876815795906
6,17,nnls_physics,2,42,23.904707636151993,28.9878580187498,-0.6018989911434727,19.359073638916016,53.219381332397454
6,17,physics_residual_xgboost,2,42,15.270771373536377,18.871621913521974,0.32107573479547624,13.317044893900558,31.668908913930256
6,18,nnls_physics,2,57,23.89880993491725,28.3994013701062,-0.42600349755611333,20.14807891845703,48.81143417358398
6,18,physics_residual_xgboost,2,57,12.608029542915654,15.793203900269244,0.5589958216890769,11.492954204479851,24.980384190877277
6,19,nnls_physics,2,75,13.240751393636067,19.272987080742723,0.45539823360940723,7.8691864013671875,29.904357910156303
6,19,physics_residual_xgboost,2,75,12.583132382730643,16.0772089837602,0.6210322098831124,10.223480860392257,26.746400960286472
7,0,nnls_physics,1,30,23.494278399149575,38.64650020327608,0.21530793027930806,11.94881820678711,89.3927927017212
7,0,physics_residual_xgboost,1,30,30.01166759795613,46.4382889352944,-0.13300373338429083,18.958007812499993,106.426761563619
7,1,nnls_physics,1,15,28.28741232554118,38.057960679918374,-0.9970779844585205,16.05990219116211,70.76501922607422
7,1,physics_residual_xgboost,1,15,20.826004610459005,26.331139876059876,0.04403208096653488,14.500936826070149,41.321742406487466
7,2,nnls_physics,1,60,12.923938131332397,15.94343933163591,0.15314520417596744,9.270757675170898,24.382994079589846
7,2,physics_residual_xgboost,1,60,9.03321712774535,11.022149566312855,0.5952586982491191,7.292150497436523,17.710671552022298
7,3,nnls_physics,1,12,27.248358567555744,30.975848099419377,-3.5577587276554725,22.801359176635742,49.10115203857422
7,3,physics_residual_xgboost,1,12,11.053786449962194,11.489917595112226,0.37289718907090186,11.315300703048706,14.66208356221517
7,4,nnls_physics,1,27,25.3783240141692,28.670278555651514,-0.8610144487684694,21.919696807861328,48.20159912109375
7,4,physics_residual_xgboost,1,27,9.255388068564143,11.605542960113386,0.6950582789624146,6.346965074539185,17.464312092463178
7,5,nnls_physics,1,45,7.023087480333117,9.522151934873925,0.7761115928437264,5.107673645019531,14.988603210449218
7,5,physics_residual_xgboost,1,45,7.517879692713418,9.320613103671343,0.7854886110953523,7.05156739552816,15.324534543355306
7,6,nnls_physics,1,4,42.39336395263672,50.94885075488722,-0.4530004999965138,27.4261474609375,72.51409454345705
7,6,physics_residual_xgboost,1,4,76.77023315429688,79.36816820253931,-2.5260599629591787,68.66536712646484,99.69180641174317
7,7,nnls_physics,1,30,22.567247263590495,28.153383656852952,-0.26286220379762293,16.640460968017578,54.00526924133301
7,7,physics_residual_xgboost,1,30,16.730513521035515,20.279640820869833,0.3447375433221842,17.34578623374303,34.02925939559937
